Country	Rank	Song	Artists	Album	Cover	Link
Germany	10	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Bulgaria	1	MI AMOR	Dessita, Djordan	MI AMOR	https://i.scdn.co/image/ab67616d0000b27397dd7cee8889c34b15f59c17	https://open.spotify.com/track/1w9r59i5mYISDLF10SxA9q
Bulgaria	2	Окадар	DJ Damyan, Emanuela	Окадар	https://i.scdn.co/image/ab67616d0000b2738d13f785fd8c7ec805016d9b	https://open.spotify.com/track/3dka3n7xJ9gPiqPhWPy4su
Bulgaria	3	Losha	Andrea	Losha	https://i.scdn.co/image/ab67616d0000b27388b695d9b9aa81b8cf6c4b9d	https://open.spotify.com/track/0Ksj1ehwR3eJl6L3bB9VZk
Bulgaria	4	MOY SI MERAK	SIMONA, Mirela	MOY SI MERAK	https://i.scdn.co/image/ab67616d0000b273d7762a3404e39d18eb1fd057	https://open.spotify.com/track/0dvRWYSsM5pIBx9nTXqDWR
Bulgaria	5	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Bulgaria	6	MILLION DOLLAR BABY	Tommy Richman	MILLION DOLLAR BABY	https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f	https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A
Bulgaria	7	Къртиш	Djordan	Къртиш	https://i.scdn.co/image/ab67616d0000b2739d3b7f58fe7b2786990f2d3b	https://open.spotify.com/track/53ScG8sq3K6H9hN2aLCuwY
Bulgaria	8	К'ъв съм як	Djordan	К'ъв съм як	https://i.scdn.co/image/ab67616d0000b2730b4877d538fdbda9a3638396	https://open.spotify.com/track/6z6PaDoMisMAHCB2OKwsrf
Bulgaria	9	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
